drug_name,smiles,toxtype,canonical_smiles
Bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,hepatic,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
Chlorphentermine,CC(C)(N)Cc1ccc(Cl)cc1,cardiovascular,CC(C)(N)Cc1ccc(Cl)cc1
Ebrotidine,NC(N)=Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,hepatic,NC(N)=Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1
Ximelagatran,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,hepatic,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1
Zomepirac,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,dermatological,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1
Oxyphenbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,hematological,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
Coumarin,O=c1ccc2ccccc2o1,hepatic,O=c1ccc2ccccc2o1
Methiodal sodium,O=S(=O)([O-])CI.[Na+],muscular,O=S(=O)(O)CI
Pyrrolizidine,C1CC2CCCN2C1,hepatic,C1CC2CCCN2C1
Phenacetin,CCOc1ccc(NC(C)=O)cc1,"carcinogenicity, renal",CCOc1ccc(NC(C)=O)cc1
Bunamiodyl,CCCC(=O)Nc1c(I)cc(I)c(/C=C(\CC)C(=O)O)c1I,renal,CCCC(=O)Nc1c(I)cc(I)c(/C=C(\CC)C(=O)O)c1I
Pentylenetetrazol,C1CCc2nnnn2CC1,neurological,C1CCc2nnnn2CC1
Isaxonine phosphate,CC(C)Nc1ncccn1.O=P(O)(O)O,hepatic,CC(C)Nc1ncccn1
Ibufenac,CC(C)Cc1ccc(CC(=O)O)cc1,hepatic,CC(C)Cc1ccc(CC(=O)O)cc1
Perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,"neurological, hepatic",C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
Benziodarone,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,hepatic,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
Dexfenfluramine,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,cardiovascular,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1
Cisapride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,cardiovascular,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC
Proglumide,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,respiratory,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1
Ticrynafen,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,hepatic,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
Clometacin,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,hepatic,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
Dipyrone,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,hematological,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
Phenylpropanolamine,CC(N)C(O)c1ccccc1,cardiovascular,CC(N)C(O)c1ccccc1
Practolol,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,dermatological,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
Sparfloxacin,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,cardiovascular,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1
Domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,cardiovascular,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
Polydexide sulfate,[C@@H]1(OCCN(CC)CC)[C@@H](O)[C@H](OCCN(CC)CC)[C@H](O[C@@H]1OC[C@H]2O[C@H](O)[C@H](OCCN(CC)CC)[C@@H](O)[C@@H]2OCC(O)CO[C@@H]3[C@H](O[C@H](O)[C@H](O)[C@H]3O)CO[C@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO[C@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5OCC[N+](CCN(CC)CC)(CC)CC)CO)CO[C@H]6O[C@@H]([C@@H](OCCN(CC)CC)[C@H](O)[C@H]6O)CO.O=[S]([O-])([O-])=O,opthalmic,CCN(CC)CCO[C@@H]1[C@@H](O)[C@H](OCC(O)CO[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OCC[N+](CC)(CC)CCN(CC)CC)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](CO[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](OCCN(CC)CC)[C@H](O)[C@H]3O)[C@@H](OCCN(CC)CC)[C@H](O)[C@H]2OCCN(CC)CC)O[C@@H]1O
Acetanilide,CC(=O)Nc1ccccc1,hematological,CC(=O)Nc1ccccc1
Grepafloxacin,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,cardiovascular,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
Sorivudine,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br,hematological,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br
Piperazine,C1CNCCN1,carcinogenicity,C1CNCCN1
Terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,cardiovascular,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
Remoxipride,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,hematological,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
Cyclofenil,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,hepatic,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1
Glafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,hematological,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
Astemizole,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,cardiovascular,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
Troglitazone,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,hepatic,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
Sertindole,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,cardiovascular,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
Chloroform,ClC(Cl)Cl,carcinogenicity,ClC(Cl)Cl
Noscapine,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,carcinogenicity,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
Mebanazine,CC(NN)c1ccccc1,hepatic,CC(NN)c1ccccc1
Levamisole,c1ccc([C@H]2CN3CCSC3=N2)cc1,hematological,c1ccc([C@H]2CN3CCSC3=N2)cc1
Methapyrilene,CN(C)CCN(Cc1cccs1)c1ccccn1,carcinogenicity,CN(C)CCN(Cc1cccs1)c1ccccn1
Etretinate,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,reproductive,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
Pronetalol,CC(C)NCC(O)c1ccc2ccccc2c1,carcinogenicity,CC(C)NCC(O)c1ccc2ccccc2c1
Nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],cardiovascular,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
Phenformin,N=C(N)NC(=N)NCCc1ccccc1,hematological,N=C(N)NC(=N)NCCc1ccccc1
Dimethylamylamine,CCCCCN(C)C,cardiovascular,CCCCCN(C)C
Fenclofenac,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,dermatological,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl
Prenylamine,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,cardiovascular,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
Fenclozic acid,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,hepatic,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1
Tegaserod,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,cardiovascular,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
Oxeladin,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,carcinogenicity,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1
Tetrazepam,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,dermatological,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21
Butamben,CCCCOC(=O)c1ccc(N)cc1,dermatological,CCCCOC(=O)c1ccc(N)cc1
Dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,cardiovascular,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
Bithionol,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,dermatological,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
Clomacran,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,hepatic,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21
Sulfathiazole,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,hepatic,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,neurological,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
Triacetyldiphenolisatin,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,hepatic,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1
Alclofenac,C=CCOc1ccc(CC(=O)O)cc1Cl,dermatological,C=CCOc1ccc(CC(=O)O)cc1Cl
Alpidem,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,hepatic,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12
Alosetron,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,gastrointestinal,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
Anagestone acetate,CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,carcinogenicity,CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C
Propanidid,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,dermatological,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1
Lumiracoxib,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,hepatic,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1
Phenolphthalein,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,"carcinogenicity, dermatological",O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
Thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,cardiovascular,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
Thenalidine,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,hematological,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1
Dihydrostreptomycin,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,neurological,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O
Clobutinol,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,cardiovascular,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1
Urethane,CCOC(N)=O,carcinogenicity,CCOC(N)=O
Minaprine,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,neurological,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1
Bucetin,CCOc1ccc(NC(=O)CC(C)O)cc1,renal,CCOc1ccc(NC(=O)CC(C)O)cc1
Valdecoxib,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,cardiovascular,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
Fenoterol,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,cardiovascular,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
Tolrestat,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,hepatic,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
Rapacuronium,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,respiratory,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1
Suprofen,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,renal,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
Tolcapone,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,hepatic,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
Erythromycin estolate,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,hepatic,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
Benoxaprofen,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,"hepatic, renal",CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
Dithiazanine iodide,CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],cardiovascular,CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21
Nitrefazole,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,"hematological, hepatic",Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1
Nialamide,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,hepatic,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
Pemoline,NC1=NC(=O)C(c2ccccc2)O1,hepatic,NC1=NC(=O)C(c2ccccc2)O1
Droxicam,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,hepatic,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O
Amineptine,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,"hepatic, dermatological",O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21
Pipamazine,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,hepatic,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
Neomycin Sulfate,[C@H]4(O[C@@H]2O[C@@H]([C@@H](OC1O[C@H]([C@@H](O)[C@H](O)[C@H]1N)CN)[C@H]2O)CO)[C@H](O[C@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3N)CN)[C@@H](N)C[C@@H](N)[C@@H]4O.O=[S](=O)(O)O,neurological,NC[C@@H]1OC(O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
Benzydamine Hydrochloride,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,opthalmic,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
Omeprazole,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,neurological,COc1ccc2[nH]c([S+](O)Cc3ncc(C)c(OC)c3C)nc2c1
Dicyclomine,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,multiple,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
Dolasetron,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,cardiovascular,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
Amfepramone Hydrochloride,CCN(CC)C(C)C(=O)c1ccccc1,cardiovascular,CCN(CC)C(C)C(=O)c1ccccc1
Benfluorex,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,cardiovascular,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1
Vitamin E,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,hepatic,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
Methandrostenolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,multiple,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
Sparteine Sulphate,[H][C@@]12CCCCN1C[C@@H]1C[C@H]2CN2CCCC[C@]12[H],reproductive,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1
Hydrochlorthiazide,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,cardiovascular,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
Naftidrofuryl Oxalate,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,cardiovascular,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1
Ciprofibrate,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,muscular,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O
Ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,hepatic,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
Acitretin,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,reproductive,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
Isotretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,reproductive,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
Bromocriptine Mesylate,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,neurological,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
Ethinylestradiol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,multiple,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
Megestrol Acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,carcinogenicity,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
Sulfadimethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,dermatological,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
Sulfametoxydiazine,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,hematological,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,cardiovascular,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
Bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,cardiovascular,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
Bufexamac,CCCCOc1ccc(CC(=O)NO)cc1,multiple,CCCCOc1ccc(CC(=O)NO)cc1
Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,multiple; gastrointestinal,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,multiple,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
Febarbamate,CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O,hepatic,CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O
Benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,hepatic,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
Cinchophen,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,hepatic,O=C(O)c1cc(-c2ccccc2)nc2ccccc12
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,"hepatic, neurological",CC(=O)Oc1ccccc1C(=O)O
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,multiple; dermatological,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
Felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,neurological,NC(=O)OCC(COC(N)=O)c1ccccc1
Budipine,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,cardiovascular,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1
Veralipride,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,cardiovascular,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC
Clorazepate,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,multiple,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
Camazepam,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,multiple,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,multiple,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,multiple,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
Aprobarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,respiratory,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,multiple,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
Vinbarbital,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,respiratory,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O
Cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,multiple,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,respiratory,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,multiple,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,respiratory,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
Pyrithyldione,CCC1(CC)C(=O)C=CNC1=O,multiple,CCC1(CC)C(=O)C=CNC1=O
Dibenzepin Hydrochloride,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21.Cl,carcinogenicity,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21
Tranylcypromine,NC1CC1c1ccccc1,cardiovascular,NC1CC1c1ccccc1
Mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,hematological,CN1CCN2c3ccccc3Cc3ccccc3C2C1
Mepazine Hydrochloride,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,neurological,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
